Day,seafood restaurant,seafood delivery,seafood recipe,sushi take out,bbq restaurant,category,year,country
1/1/17,54,4,29,3,21,food & drink,2017,usa
1/2/17,52,0,17,2,21,food & drink,2017,usa
1/3/17,39,0,10,1,11,food & drink,2017,usa
1/4/17,35,0,5,0,12,food & drink,2017,usa
1/5/17,29,2,8,2,8,food & drink,2017,usa
1/6/17,29,2,17,0,11,food & drink,2017,usa
1/7/17,45,3,22,2,22,food & drink,2017,usa
1/8/17,44,5,17,0,18,food & drink,2017,usa
1/9/17,30,1,11,1,13,food & drink,2017,usa
1/10/17,26,0,3,0,7,food & drink,2017,usa
1/11/17,34,0,8,1,9,food & drink,2017,usa
1/12/17,30,1,7,0,15,food & drink,2017,usa
1/13/17,48,1,10,1,17,food & drink,2017,usa
1/14/17,60,2,18,2,16,food & drink,2017,usa
1/15/17,62,2,12,3,19,food & drink,2017,usa
1/16/17,47,0,14,2,18,food & drink,2017,usa
1/17/17,29,0,12,1,6,food & drink,2017,usa
1/18/17,33,1,10,1,10,food & drink,2017,usa
1/19/17,40,0,8,1,19,food & drink,2017,usa
1/20/17,31,1,12,1,12,food & drink,2017,usa
1/21/17,63,5,17,4,24,food & drink,2017,usa
1/22/17,59,0,19,3,21,food & drink,2017,usa
1/23/17,39,1,12,4,10,food & drink,2017,usa
1/24/17,29,1,8,1,10,food & drink,2017,usa
1/25/17,44,1,9,0,12,food & drink,2017,usa
1/26/17,34,1,11,1,11,food & drink,2017,usa
1/27/17,47,0,11,3,21,food & drink,2017,usa
1/28/17,73,0,19,3,26,food & drink,2017,usa
1/29/17,67,3,21,2,18,food & drink,2017,usa
1/30/17,30,1,9,1,18,food & drink,2017,usa
1/31/17,34,1,10,0,13,food & drink,2017,usa
2/1/17,32,1,11,1,16,food & drink,2017,usa
2/2/17,27,1,11,1,12,food & drink,2017,usa
2/3/17,55,1,18,3,21,food & drink,2017,usa
2/4/17,61,3,25,5,30,food & drink,2017,usa
2/5/17,59,2,28,3,22,food & drink,2017,usa
2/6/17,37,1,10,1,14,food & drink,2017,usa
2/7/17,33,0,13,1,10,food & drink,2017,usa
2/8/17,45,0,11,1,16,food & drink,2017,usa
2/9/17,35,1,11,3,11,food & drink,2017,usa
2/10/17,45,0,11,6,18,food & drink,2017,usa
2/11/17,74,4,18,2,21,food & drink,2017,usa
2/12/17,70,5,26,2,22,food & drink,2017,usa
2/13/17,47,1,12,1,13,food & drink,2017,usa
2/14/17,72,2,18,2,10,food & drink,2017,usa
2/15/17,57,1,11,3,17,food & drink,2017,usa
2/16/17,46,0,8,1,13,food & drink,2017,usa
2/17/17,45,3,9,2,21,food & drink,2017,usa
2/18/17,97,0,19,0,31,food & drink,2017,usa
2/19/17,79,2,18,3,27,food & drink,2017,usa
2/20/17,41,1,14,0,19,food & drink,2017,usa
2/21/17,41,1,8,1,10,food & drink,2017,usa
2/22/17,37,1,11,1,12,food & drink,2017,usa
2/23/17,42,1,8,0,16,food & drink,2017,usa
2/24/17,46,0,6,3,14,food & drink,2017,usa
2/25/17,86,3,11,3,29,food & drink,2017,usa
2/26/17,70,2,19,2,26,food & drink,2017,usa
2/27/17,34,1,6,0,12,food & drink,2017,usa
2/28/17,36,1,11,1,12,food & drink,2017,usa
3/1/17,45,2,9,4,15,food & drink,2017,usa
3/2/17,51,3,7,0,16,food & drink,2017,usa
3/3/17,52,0,15,3,13,food & drink,2017,usa
3/4/17,87,2,15,3,28,food & drink,2017,usa
3/5/17,72,3,19,3,21,food & drink,2017,usa
3/6/17,35,3,11,0,19,food & drink,2017,usa
3/7/17,49,2,10,3,11,food & drink,2017,usa
3/8/17,39,1,9,3,16,food & drink,2017,usa
3/9/17,47,1,14,3,22,food & drink,2017,usa
3/10/17,53,3,14,3,18,food & drink,2017,usa
3/11/17,84,0,15,0,24,food & drink,2017,usa
3/12/17,79,4,16,5,29,food & drink,2017,usa
3/13/17,40,1,9,1,17,food & drink,2017,usa
3/14/17,39,0,11,1,14,food & drink,2017,usa
3/15/17,42,1,8,1,13,food & drink,2017,usa
3/16/17,52,3,8,1,21,food & drink,2017,usa
3/17/17,65,1,7,2,22,food & drink,2017,usa
3/18/17,85,3,17,2,20,food & drink,2017,usa
3/19/17,67,3,10,2,27,food & drink,2017,usa
3/20/17,38,3,10,1,15,food & drink,2017,usa
3/21/17,34,1,8,4,15,food & drink,2017,usa
3/22/17,42,1,12,1,13,food & drink,2017,usa
3/23/17,34,0,9,1,16,food & drink,2017,usa
3/24/17,55,2,14,2,19,food & drink,2017,usa
3/25/17,69,2,13,2,30,food & drink,2017,usa
3/26/17,60,2,6,2,29,food & drink,2017,usa
3/27/17,36,2,10,0,18,food & drink,2017,usa
3/28/17,43,0,7,3,18,food & drink,2017,usa
3/29/17,38,2,10,0,16,food & drink,2017,usa
3/30/17,48,0,11,1,19,food & drink,2017,usa
3/31/17,62,1,19,3,12,food & drink,2017,usa
4/1/17,74,3,21,0,20,food & drink,2017,usa
4/2/17,52,7,14,3,23,food & drink,2017,usa
4/3/17,36,1,6,2,15,food & drink,2017,usa
4/4/17,41,4,12,1,15,food & drink,2017,usa
4/5/17,42,1,6,0,14,food & drink,2017,usa
4/6/17,50,2,10,1,15,food & drink,2017,usa
4/7/17,63,1,13,3,17,food & drink,2017,usa
4/8/17,89,5,10,2,22,food & drink,2017,usa
4/9/17,61,2,16,5,24,food & drink,2017,usa
4/10/17,49,1,10,0,14,food & drink,2017,usa
4/11/17,35,1,7,1,14,food & drink,2017,usa
4/12/17,45,1,9,1,20,food & drink,2017,usa
4/13/17,46,1,12,4,15,food & drink,2017,usa
4/14/17,83,2,10,0,22,food & drink,2017,usa
4/15/17,76,3,18,2,19,food & drink,2017,usa
4/16/17,67,3,10,2,26,food & drink,2017,usa
4/17/17,32,0,6,3,16,food & drink,2017,usa
4/18/17,32,0,7,1,10,food & drink,2017,usa
4/19/17,35,1,9,1,15,food & drink,2017,usa
4/20/17,48,1,8,3,16,food & drink,2017,usa
4/21/17,43,1,12,0,24,food & drink,2017,usa
4/22/17,68,3,8,3,26,food & drink,2017,usa
4/23/17,69,3,16,3,20,food & drink,2017,usa
4/24/17,41,1,6,1,15,food & drink,2017,usa
4/25/17,34,3,6,3,16,food & drink,2017,usa
4/26/17,39,0,8,4,13,food & drink,2017,usa
4/27/17,46,2,4,1,12,food & drink,2017,usa
4/28/17,55,1,8,3,20,food & drink,2017,usa
4/29/17,85,3,17,3,23,food & drink,2017,usa
4/30/17,73,5,17,2,20,food & drink,2017,usa
5/1/17,53,0,8,1,14,food & drink,2017,usa
5/2/17,38,1,8,1,15,food & drink,2017,usa
5/3/17,37,3,7,2,16,food & drink,2017,usa
5/4/17,42,2,16,0,17,food & drink,2017,usa
5/5/17,43,0,4,1,16,food & drink,2017,usa
5/6/17,83,2,18,2,28,food & drink,2017,usa
5/7/17,63,2,12,2,17,food & drink,2017,usa
5/8/17,39,3,11,1,12,food & drink,2017,usa
5/9/17,33,0,11,3,15,food & drink,2017,usa
5/10/17,45,1,9,0,12,food & drink,2017,usa
5/11/17,51,2,11,1,13,food & drink,2017,usa
5/12/17,57,6,10,0,17,food & drink,2017,usa
5/13/17,96,4,13,3,26,food & drink,2017,usa
5/14/17,100,4,30,6,37,food & drink,2017,usa
5/15/17,45,0,8,2,13,food & drink,2017,usa
5/16/17,44,0,11,2,19,food & drink,2017,usa
5/17/17,43,2,8,3,15,food & drink,2017,usa
5/18/17,37,2,8,2,12,food & drink,2017,usa
5/19/17,76,2,11,2,18,food & drink,2017,usa
5/20/17,79,2,13,4,24,food & drink,2017,usa
5/21/17,69,3,16,0,22,food & drink,2017,usa
5/22/17,49,2,12,2,13,food & drink,2017,usa
5/23/17,39,0,9,3,13,food & drink,2017,usa
5/24/17,32,3,5,2,9,food & drink,2017,usa
5/25/17,43,5,12,0,13,food & drink,2017,usa
5/26/17,61,2,10,2,20,food & drink,2017,usa
5/27/17,78,2,7,2,28,food & drink,2017,usa
5/28/17,87,4,14,2,34,food & drink,2017,usa
5/29/17,69,2,14,0,34,food & drink,2017,usa
5/30/17,38,2,10,0,14,food & drink,2017,usa
5/31/17,51,1,8,1,18,food & drink,2017,usa
6/1/17,43,0,7,2,17,food & drink,2017,usa
6/2/17,53,3,9,2,19,food & drink,2017,usa
6/3/17,67,4,19,2,18,food & drink,2017,usa
6/4/17,80,0,8,3,30,food & drink,2017,usa
6/5/17,47,2,11,2,15,food & drink,2017,usa
6/6/17,38,3,7,3,21,food & drink,2017,usa
6/7/17,56,2,5,3,14,food & drink,2017,usa
6/8/17,56,3,10,3,13,food & drink,2017,usa
6/9/17,67,3,12,3,15,food & drink,2017,usa
6/10/17,90,4,11,2,24,food & drink,2017,usa
6/11/17,79,5,21,0,36,food & drink,2017,usa
6/12/17,57,2,11,5,23,food & drink,2017,usa
6/13/17,59,4,10,6,19,food & drink,2017,usa
6/14/17,66,0,8,2,22,food & drink,2017,usa
6/15/17,51,0,7,2,25,food & drink,2017,usa